k,mu
10.389281,0.410927
12.013341,0.472796
13.370100,0.515416
15.341277,0.562156
17.204128,0.600647
20.197297,0.647383
23.529734,0.684491
29.811935,0.731212
37.770148,0.772430
47.487323,0.806773
60.620321,0.836985
74.487015,0.858952
95.810718,0.882286
117.724125,0.900127
150.269023,0.916584
188.909850,0.934420
241.132052,0.949503
305.455312,0.965962
420.781762,0.979653
611.427424,0.993334
895.257213,1.008389
1271.458156,1.022074
1791.983873,1.031634
2603.864904,1.043939
3669.837362,1.052124
5211.740544,1.058932
7515.212494,1.065736
10195.613494,1.073929
13212.946075,1.075253
18062.714412,1.083444
25651.651430,1.088876
37557.152818,1.094302
52129.979986,1.098363
